hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost_no_aversion,0.1,115.677375,19.585270833333333,8.21944182592053,66,2,3,"(3, 3)",0,0,1,1,0.1,0,0,0,0
cost_no_aversion,0.1,119.86425,20.08370833333333,14.976333304767618,56,1,3,"(15, 16)",0,3,2,5,0.5,1,0,0,0
cost_no_aversion,0.1,105.589,18.634916666666665,9.527080298226068,68,2,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,0.1,36.964125,12.759999999999998,13.896506413003113,91,4,4,"(4, 15)",0,6,47,53,5.299999999999997,1,1,0,0
cost_no_aversion,0.1,40.59275,14.155624999999999,11.800639872025593,97,4,4,"(9, 10)",0,1,5,6,0.6,1,1,0,0
cost_no_aversion,0.1,114.162125,19.113416666666666,8.100979804039191,81,4,5,"(4, 15)",0,142,240,382,38.20000000000027,1,1,0,0
cost_no_aversion,0.1,145.464,24.104437499999996,17.094981003799237,51,2,3,"(3, 3)",0,34,0,34,3.4000000000000017,1,0,0,0
cost_no_aversion,0.1,28.78975,0.5117291666666667,1.3896506413003114,86,1,1,"(11, 5)",0,36,17,53,5.299999999999997,1,1,0,0
cost_no_aversion,0.5,141.277125,23.5461875,14.447810437912418,54,2,4,"(15, 16)",0,3,0,3,1.5,1,0,0,0
cost_no_aversion,0.5,127.1215,21.186916666666665,14.507041448853085,55,2,3,"(3, 3)",0,11,10,21,10.5,1,1,0,0
cost_no_aversion,0.5,102.11987500000001,20.78152083333333,16.616576684663066,64,4,5,"(4, 15)",0,1,1,2,1.0,0,0,0,0
cost_no_aversion,0.5,57.459875000000004,18.116541666666667,10.45655154683349,93,4,4,"(9, 10)",0,7,2,9,4.5,1,0,0,0
cost_no_aversion,0.5,80.427875,3.814708333333333,8.032636329876881,81,4,4,"(9, 10)",0,31,3,34,17.0,1,1,0,0
cost_no_aversion,0.5,104.03387500000001,19.924208333333333,8.706958608278343,81,5,5,"(9, 10)",0,12,5,17,8.5,1,1,0,0
cost_no_aversion,0.5,87.087,2.0469166666666667,6.97103436455566,75,3,3,"(4, 15)",0,6,3,9,4.5,1,1,0,0
cost_no_aversion,0.5,40.552875,8.918708333333333,10.33353329334133,88,4,4,"(15, 16)",0,3,3,6,3.0,1,1,0,0
cost_no_aversion,0.5,134.53825,22.423041666666666,6.9619219013340174,77,2,3,"(3, 3)",0,43,0,43,21.5,1,0,0,0
cost_no_aversion,0.5,146.18175,24.363625,11.928214357128573,57,2,4,"(16, 3)",0,2,0,2,1.0,0,0,0,0
cost_no_aversion,1.0,139.32325,23.220541666666666,14.493372754020625,44,1,2,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,1.0,109.417,1.2028958333333333,4.843274202302396,59,2,2,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost_no_aversion,1.0,84.415375,5.934729166666666,8.447253406461565,82,4,4,"(3, 3)",0,18,3,21,21.0,1,1,0,0
