i_cost,i_steps,i_run_idx,j_cost,j_steps,j_run_idx,d_order,d_content,d_xref,d_conf,d_composite,same_cell
0.1,20000,1,1.0,20000,5,0.428571,0.416667,1.000000,0.495530,0.585192,0
0.1,20000,1,1.0,20000,6,0.400000,0.615385,1.000000,0.233490,0.562219,0
0.1,20000,1,1.0,20000,7,0.285714,0.416667,1.000000,0.381739,0.521030,0
0.1,20000,1,1.0,20000,8,0.500000,0.692308,1.000000,0.370473,0.640695,0
0.1,20000,1,1.0,20000,9,0.000000,0.923077,1.000000,0.109606,0.508171,0
0.1,20000,1,1.0,80000,0,0.466667,0.500000,1.000000,0.275022,0.560422,0
0.1,20000,1,1.0,80000,1,0.500000,0.714286,1.000000,0.330275,0.636140,0
0.1,20000,1,1.0,80000,2,0.428571,0.562500,1.000000,0.553954,0.636256,0
0.1,20000,1,1.0,80000,3,0.476190,0.562500,1.000000,0.733797,0.693122,0
0.1,20000,1,1.0,80000,4,0.600000,0.642857,1.000000,0.360194,0.650763,0
0.1,20000,1,1.0,80000,5,0.285714,0.533333,1.000000,0.851315,0.667591,0
0.1,20000,1,1.0,80000,6,0.607143,0.466667,0.666667,0.552523,0.573250,0
0.1,20000,1,1.0,80000,7,0.333333,0.562500,1.000000,0.817295,0.678282,0
0.1,20000,1,1.0,80000,8,0.476190,0.533333,1.000000,0.841560,0.712771,0
0.1,20000,1,1.0,80000,9,0.619048,0.588235,1.000000,0.703397,0.727670,0
0.1,20000,1,1.0,160000,0,0.428571,0.533333,1.000000,0.876750,0.709664,0
0.1,20000,1,1.0,160000,1,0.464286,0.428571,0.750000,0.391997,0.508714,0
0.1,20000,1,1.0,160000,2,0.190476,0.461538,0.500000,0.409548,0.390391,0
0.1,20000,1,1.0,160000,3,0.250000,0.400000,0.000000,0.786057,0.359014,0
0.1,20000,1,1.0,160000,4,0.333333,0.562500,1.000000,0.841290,0.684281,0
0.1,20000,1,1.0,160000,5,0.666667,0.562500,1.000000,0.801847,0.757753,0
0.1,20000,1,1.0,160000,6,0.428571,0.562500,1.000000,0.794797,0.696467,0
0.1,20000,1,1.0,160000,7,0.285714,0.533333,1.000000,0.892974,0.678005,0
0.1,20000,1,1.0,160000,8,0.238095,0.562500,1.000000,0.822944,0.655885,0
0.1,20000,1,1.0,160000,9,0.285714,0.533333,1.000000,0.865411,0.671115,0
0.1,20000,1,2.0,20000,0,0.333333,0.750000,1.000000,0.345649,0.607246,0
0.1,20000,1,2.0,20000,1,0.380952,0.500000,1.000000,0.529772,0.602681,0
0.1,20000,1,2.0,20000,2,0.300000,0.444444,1.000000,0.365434,0.527470,0
0.1,20000,1,2.0,20000,3,0.333333,0.692308,1.000000,0.376059,0.600425,0
0.1,20000,1,2.0,20000,4,0.285714,0.500000,0.666667,0.623756,0.519034,0
0.1,20000,1,2.0,20000,5,0.500000,0.733333,1.000000,0.231046,0.616095,0
0.1,20000,1,2.0,20000,6,0.500000,0.692308,1.000000,0.385773,0.644520,0
0.1,20000,1,2.0,20000,7,0.333333,0.416667,0.500000,0.188648,0.359662,0
0.1,20000,1,2.0,20000,8,0.380952,0.500000,1.000000,0.513681,0.598658,0
0.1,20000,1,2.0,20000,9,0.000000,0.909091,1.000000,0.390350,0.574860,0
0.1,20000,1,2.0,80000,0,0.178571,0.466667,0.500000,0.844815,0.497513,0
0.1,20000,1,2.0,80000,1,0.266667,0.600000,1.000000,0.298348,0.541254,0
0.1,20000,1,2.0,80000,2,0.428571,0.533333,1.000000,0.909962,0.717967,0
0.1,20000,1,2.0,80000,3,0.238095,0.416667,0.500000,0.226729,0.345373,0
0.1,20000,1,2.0,80000,4,0.238095,0.533333,1.000000,0.891877,0.665826,0
